District,Total_Positive_Cases,Date
Patiala,1,11-04-2020
Rupnagar,3,11-04-2020
Sangrur,2,11-04-2020
Sasnagar,38,11-04-2020
Ajmer,5,11-04-2020
Alwar,5,11-04-2020
Banswara,12,11-04-2020
Barmer,1,11-04-2020
Bharatpur,8,11-04-2020
Bhilwara,28,11-04-2020
Bikaner,20,11-04-2020
Churu,11,11-04-2020
Dausa,6,11-04-2020
Dholpur,1,11-04-2020
Dungarpur,5,11-04-2020
Jaipur,170,11-04-2020
Jaisalmer,19,11-04-2020
Jhalawar,9,11-04-2020
Jhunjhunu,31,11-04-2020
Jodhpur,34,11-04-2020
Karauli,2,11-04-2020
Kota,17,11-04-2020
Nagaur,1,11-04-2020
Pali,2,11-04-2020
Pratapgarh,2,11-04-2020
Sikar,1,11-04-2020
Tonk,27,11-04-2020
Udaipur,4,11-04-2020
Iran Evacuees,42,11-04-2020
Ariyalur,1,11-04-2020
Chengalpattu,23,11-04-2020
Chennai,149,11-04-2020
Coimbatore,60,11-04-2020
Cuddalore,13,11-04-2020
Dindigul,45,11-04-2020
Erode,32,11-04-2020
Kalllakurichi,2,11-04-2020
Kancheepuram,7,11-04-2020
Karur,22,11-04-2020
Madurai,24,11-04-2020
Nagapattinam,11,11-04-2020
Nagerkoil (Kanyakumari),6,11-04-2020
Namakkal,28,11-04-2020
Perambalur,1,11-04-2020
Ramanathapuram,2,11-04-2020
Ranipet,28,11-04-2020
Salem,11,11-04-2020
Sivagangai,5,11-04-2020
Thanjavur,11,11-04-2020
Theni,24,11-04-2020
Thiruvallur,12,11-04-2020
Thiruvarur,12,11-04-2020
Thoothukudi,17,11-04-2020
Tiruchirapalli,30,11-04-2020
Tirunelveli,38,11-04-2020
Tirupattur,11,11-04-2020
Tiruppur,20,11-04-2020
Tiruvannamalai,9,11-04-2020
Udagamandalam,4,11-04-2020
Vellore,5,11-04-2020
Villupuram,16,11-04-2020
Virudhunagar,11,11-04-2020
Adilabad,11,11-04-2020
Bhupalpally (Jayashanker),2,11-04-2020
Gadwal (Jogulamba),22,11-04-2020
Hyderabad,213,11-04-2020
Hyderabad Rural (Ranga Reddy),23,11-04-2020
Jagityal,3,11-04-2020
Janagoan,2,11-04-2020
Kamareddy,10,11-04-2020
Karimnagar,18,11-04-2020
Khammam,2,11-04-2020
Kothagudem (Badadri),4,11-04-2020
Mahaboobnagar,11,11-04-2020
Mahabubabad,1,11-04-2020
Medak,5,11-04-2020
Medchal,18,11-04-2020
Mulugu,2,11-04-2020
Nagarkurnool,2,11-04-2020
Nalgonda,14,11-04-2020
Nirmal,15,11-04-2020
Nizamabad,45,11-04-2020
Peddapally,2,11-04-2020
Sangareddy,8,11-04-2020
Siddipet,1,11-04-2020
Suryapet,10,11-04-2020
Vikarabad,5,11-04-2020
Warangal,22,11-04-2020
Warangal(Rural),2,11-04-2020
Gomati,1,11-04-2020
Agra,83,11-04-2020
Allahabad,1,11-04-2020
Auraiya,1,11-04-2020
Azamgarh,4,11-04-2020
Baghpat,5,11-04-2020
Banda,2,11-04-2020
Bara-Banki,1,11-04-2020
Bareilly,6,11-04-2020
Basti,8,11-04-2020
Bijnor,1,11-04-2020
Budaun,1,11-04-2020
Bulandshahar,8,11-04-2020
Firozabad,10,11-04-2020
Gautam Budha Nagar,65,11-04-2020
Ghaziabad,25,11-04-2020
Ghazipur,5,11-04-2020
Hardoi,2,11-04-2020
Hapur,3,11-04-2020
Hathras,4,11-04-2020
Jaunpur,4,11-04-2020
Amroha,2,11-04-2020
Kanpur,9,11-04-2020
Kaushambi,2,11-04-2020
Lakhimpur Kheri,4,11-04-2020
Lucknow,29,11-04-2020
Maharajganj,6,11-04-2020
Mathura,2,11-04-2020
Meerut,38,11-04-2020
Mirzapur,2,11-04-2020
Moradabad,1,11-04-2020
Muzaffar Nagar,4,11-04-2020
Pilibhit,2,11-04-2020
Pratapgarh,6,11-04-2020
Rae-Bareilly,2,11-04-2020
Rampur,5,11-04-2020
Saharanpur,20,11-04-2020
Shahjahanpur,1,11-04-2020
Shamli,17,11-04-2020
Sitapur,10,11-04-2020
Varanasi,9,11-04-2020
Almora,1,11-04-2020
Dehradun,18,11-04-2020
Haridwar,3,11-04-2020
Nainital,8,11-04-2020
Pauri Garhwal,1,11-04-2020
Udhamsingh Nagar,4,11-04-2020
Hooghly,4,11-04-2020
Howrah,7,11-04-2020
Jalpaiguri,4,11-04-2020
Kalimpomg,7,11-04-2020
Kolkata,29,11-04-2020
Nadia,5,11-04-2020
North 24 Parganas,3,11-04-2020
Paschim Mednipur,2,11-04-2020
Purba Mednipur,7,11-04-2020
South 24 Parganas,1,11-04-2020
